,country,year,iso_code,gdp_p_cap,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1377,Tuvalu,1995,TUV,2647,9298,NA,NA,NA,0.011,0.004,50,1.182,NA,NA,NA,NA,NA,NA,NA,NA,0.051,NA,NA,NA,0.051,NA,0,NA,NA,NA,NA,NA,2.151,2.151,0.01,1.076,0,0,0.011,1.182,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.02,0.02,NA,NA
1378,Tuvalu,2000,TUV,3052,9392,NA,NA,NA,0.007,0.004,100,0.78,NA,NA,NA,NA,NA,NA,NA,NA,0.088,NA,NA,NA,0.088,NA,0,NA,NA,NA,NA,NA,2.129,2.129,0.01,1.065,0,0,0.007,0.78,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.02,0.02,NA,NA
1379,Tuvalu,2005,TUV,2884,9997,NA,NA,NA,0.007,-0.004,-33.33,0.733,NA,NA,NA,NA,NA,NA,NA,NA,0.139,NA,NA,NA,0.139,NA,0,NA,NA,NA,NA,NA,2.001,2.001,0.01,1,0,0,0.007,0.733,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.02,0.02,NA,NA
1380,Tuvalu,2010,TUV,2987,10521,NA,NA,NA,0.011,0,0,1.045,NA,NA,NA,NA,NA,NA,NA,NA,0.194,NA,NA,NA,0.194,NA,0,NA,NA,NA,NA,NA,1.901,1.901,0.01,0.95,0,0,0.011,1.045,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.02,0.02,NA,NA
1381,Tuvalu,2015,TUV,3389,11099,NA,NA,NA,0.007,0,0,0.66,NA,NA,NA,NA,NA,NA,NA,NA,0.242,NA,NA,NA,0.242,NA,0,NA,NA,NA,NA,NA,1.802,1.802,0.01,0.901,0,0,0.007,0.66,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.02,0.02,NA,NA
1382,Uganda,1990,UGA,773,17354394,16268766208,0.01,0.001,0.761,-0.04,-4.95,0.044,0.047,0.133,NA,NA,1.517,0.087,0.093,1.399,27.142,NA,NA,NA,25.743,NA,329.024,0.351,NA,NA,NA,NA,0.825,1.748,8.02,0.462,5.7,0.328,0.751,0.043,NA,NA,5.71,0,0,NA,0.01,0,NA,NA,NA,0.01,NA,NA,NA,0.01,NA,30.34,14.31,0.756,99.36
1383,Uganda,1995,UGA,922,20413156,21811142656,0.028,0.001,0.925,0.217,30.69,0.045,0.042,0.129,NA,NA,1.96,0.096,0.09,1.491,31.151,NA,NA,NA,29.66,NA,352.051,0.329,NA,NA,NA,NA,0.788,1.575,9.15,0.448,6.18,0.303,0.898,0.044,NA,NA,7.186,0,0,NA,0.01,0,NA,NA,NA,0.01,NA,NA,NA,0.01,NA,32.15,16.08,1.034,111.74
1384,Uganda,2000,UGA,1067,23650158,28839088128,0.108,0.005,1.361,0.106,8.46,0.058,0.047,0.132,NA,NA,2.23,0.094,0.077,1.972,37.055,NA,NA,NA,35.083,NA,437.698,0.359,NA,NA,NA,NA,0.798,1.499,11.32,0.479,6.98,0.295,1.253,0.053,NA,NA,10.352,0.02,0.01,NA,0.01,0,NA,NA,NA,0.01,NA,NA,NA,0.01,NA,35.46,18.87,0.869,63.84
1385,Uganda,2005,UGA,1261,27684590,40921112576,0.164,0.006,2.018,0.41,25.53,0.073,0.049,0.146,NA,NA,3.501,0.126,0.086,2.69,45.057,NA,NA,NA,42.367,NA,498.896,0.338,NA,NA,NA,NA,0.877,1.451,13.76,0.497,8.54,0.308,1.854,0.067,NA,NA,13.812,0.02,0.01,NA,0.01,0,NA,NA,NA,0.01,NA,NA,NA,0.02,NA,40.18,24.27,1.483,73.5
1386,Uganda,2010,UGA,1585,32428164,59228536832,0.323,0.01,3.57,0.57,19,0.11,0.06,0.178,NA,NA,6.027,0.186,0.102,3.707,59.499,NA,NA,NA,55.792,NA,616.593,0.338,NA,NA,NA,NA,1.063,1.553,19.71,0.608,11.47,0.354,3.246,0.1,NA,NA,19.995,0.03,0.01,NA,0.01,0,NA,NA,NA,0.01,NA,NA,NA,0.03,NA,50.36,34.48,2.457,68.84
1387,Uganda,2015,UGA,1750,38225444,73613877248,0.349,0.009,4.526,0.436,10.66,0.118,0.062,0.168,NA,NA,7.039,0.184,0.096,5.629,79.32,NA,NA,NA,73.69,NA,703.938,0.366,NA,NA,NA,NA,1.021,1.436,21.91,0.573,12.44,0.325,4.177,0.109,NA,NA,26.908,0.02,0.01,NA,0.02,0.01,NA,NA,NA,0.01,NA,NA,NA,0.04,NA,54.91,39.03,2.513,55.53
1388,Ukraine,1990,UKR,10464,51463100,495935193088,9.401,0.183,705.83,23.213,3.4,13.715,1.423,0.221,263.168,5.114,505.669,9.826,1.02,274.617,20802.666,12494.4,95.726,2765.972,5163.653,8.298,62077.434,6.442,3.483,0.068,215.794,4.193,16.028,15.081,92.34,1.794,43.13,0.838,205.687,3.997,0.161,8.298,3194.697,1.88,3.1,3.02,2.26,2.58,2.85,1.17,3.53,1.92,0.45,1.38,5.62,2.23,3.72,776.11,824.83,-200.161,-28.36
1389,Ukraine,1995,UKR,5060,50903780,257477951488,3.408,0.067,389.865,-29.402,-7.01,7.659,1.514,0.212,174.093,3.42,221.766,4.357,0.861,307.01,23343.594,13558.156,108.44,3631.045,5704.19,34.751,36338.27,7.184,2.226,0.044,133.841,2.629,9.743,8.792,69.99,1.375,26.39,0.518,72.31,1.421,0.078,3.987,1849.755,0.54,1.66,1.97,2.05,2.53,2.82,1.16,3.68,1.8,1.18,0.95,3.18,0.77,1.79,447.55,495.96,-168.099,-43.12
1390,Ukraine,2000,UKR,4797,48838060,253196058624,2.261,0.046,285.337,-12.867,-4.31,5.843,1.127,0.181,122.878,2.516,211.547,4.332,0.836,319.17,24947.363,14228.347,119.366,4307.661,5926.174,46.648,32463.545,6.262,2.147,0.044,123.973,2.539,7.493,6.497,49.9,1.022,18.58,0.38,31.628,0.648,0.05,2.451,1585.457,0.32,1.13,1.36,1.74,2.39,2.71,1.13,3.55,1.62,1.16,0.8,2.62,0.31,1.14,317.3,365.96,-73.79,-25.86
