,country,year,iso_code,gdp_p_cap,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1,Afghanistan,1990,AFG,NA,12412311,13065984000,0.046,0.004,2.603,-0.162,-5.85,0.21,0.199,0.082,0.278,0.022,NA,NA,NA,1.537,59.182,11.51,5.71,10.814,29.611,NA,2557.586,2.43,0.026,0.002,0.403,0.032,0.964,0.772,6.74,0.543,2.84,0.229,1.85,0.149,NA,NA,31.746,0.01,0.01,0,0.01,0.01,0,0.07,0.01,0.01,NA,0.01,0.01,0.02,NA,9.58,11.97,NA,NA
2,Afghanistan,1995,AFG,NA,18110662,12307525632,0.047,0.003,1.23,-0.051,-3.99,0.068,0.1,0.166,0.015,0.001,NA,NA,NA,1.769,66.834,11.829,5.824,12.577,34.835,NA,410.195,0.604,0.022,0.001,0.322,0.018,0.661,0.529,7.83,0.432,2.88,0.159,0.824,0.045,NA,NA,7.429,0.01,0.01,0,0.01,0.01,0,0.06,0.01,0.01,NA,0.01,0.01,0.01,NA,9.58,11.97,NA,NA
3,Afghanistan,2000,AFG,NA,20779958,11283792896,0.01,0.001,0.758,-0.052,-6.4,0.036,0.067,0.128,0.004,0,NA,NA,NA,1.969,71.68,11.851,5.934,13.898,38.028,NA,284.582,0.524,0.022,0.001,0.224,0.011,0.668,0.553,9.56,0.46,3.48,0.167,0.498,0.024,NA,NA,5.914,0,0,0,0.01,0.01,0,0.06,0.01,0.01,NA,0.01,0,0,NA,11.5,13.89,NA,NA
4,Afghanistan,2005,AFG,1099,25654274,25397688320,0.006,0,1.303,0.414,46.57,0.051,0.051,0.212,0.106,0.004,NA,NA,NA,2.012,76.908,12.265,NA,15.675,40.999,NA,239.855,0.242,NA,NA,0.33,0.013,0.633,0.637,10.73,0.418,3.82,0.149,0.861,0.034,NA,NA,6.153,0,0,0,0.01,0.01,0,NA,0.01,0.01,NA,NA,0.01,0.01,NA,16.35,16.23,NA,NA
5,Afghanistan,2010,AFG,1672,29185512,47399424000,0.015,0.001,8.398,1.658,24.6,0.288,0.177,0.242,2.246,0.077,NA,NA,NA,2.079,100.149,18.011,NA,17.152,56.952,NA,1190.324,0.733,NA,NA,0.271,0.009,0.929,0.933,15.2,0.521,4.58,0.157,5.866,0.201,NA,NA,34.74,0,0.03,0.02,0.01,0.01,0,NA,0.01,0.01,NA,NA,0,0.05,NA,27.24,27.12,NA,NA
6,Afghanistan,2015,AFG,1767,34413600,62783393792,0.041,0.001,7.904,0.13,1.67,0.23,0.126,0.214,2.843,0.083,NA,NA,NA,2.228,146.593,35.191,NA,18.617,84.6,NA,1075.505,0.59,NA,NA,0.282,0.008,0.787,0.78,15.96,0.464,4.62,0.134,4.738,0.138,NA,NA,37.012,0,0.02,0.02,0.01,0.01,0,NA,0.01,0.02,NA,NA,0,0.04,NA,26.84,27.09,NA,NA
13,Albania,1990,ALB,1990,3286070,12947849216,0.308,0.094,5.445,-3.532,-39.35,1.657,0.421,0.162,2.499,0.76,5.436,1.654,0.42,8.512,172.417,56.633,NA,14.422,92.85,NA,10242.583,2.599,NA,NA,0.465,0.142,3.378,3.439,3.55,1.08,1.56,0.475,2.173,0.661,NA,NA,33.658,0.06,0.02,0.03,0.07,0.02,0.01,NA,0.02,0.03,NA,NA,0.01,0.02,NA,11.3,11.1,-0.009,-0.16
14,Albania,1995,ALB,4130,3112923,11600734208,0.081,0.026,2.066,0.154,8.05,0.664,0.178,0.091,0.161,0.052,2.474,0.795,0.213,9.039,185.435,59.843,NA,15.202,101.35,NA,7301.038,1.959,NA,NA,0.051,0.016,2.368,2.435,4.09,1.314,1.34,0.43,1.773,0.57,NA,NA,22.728,0.01,0.01,0,0.06,0.02,0.01,NA,0.02,0.03,NA,NA,0,0.02,NA,7.58,7.37,0.407,19.71
15,Albania,2000,ALB,5443,3129246,15214264320,0.073,0.023,3.004,0.029,0.99,0.96,0.198,0.105,0.07,0.022,3.805,1.216,0.25,9.31,196.684,60.235,NA,15.367,111.771,NA,9181.736,1.888,NA,NA,0.022,0.007,2.601,2.684,3.71,1.186,1.21,0.387,2.84,0.908,NA,NA,28.732,0.01,0.01,0,0.05,0.02,0.01,NA,0.01,0.03,NA,NA,0,0.03,NA,8.4,8.14,0.801,26.66
16,Albania,2005,ALB,7426,3086810,20781076480,0.194,0.063,4.199,0.095,2.32,1.36,0.202,0.12,0.073,0.024,5.722,1.854,0.275,9.963,216.187,60.642,NA,15.488,130.095,NA,11342.989,1.685,NA,NA,0.022,0.007,2.899,2.537,3.49,1.131,1.27,0.411,3.91,1.267,NA,NA,35.014,0.02,0.01,0,0.04,0.02,0.01,NA,0.01,0.03,NA,NA,0,0.04,NA,7.83,8.95,1.523,36.28
17,Albania,2010,ALB,9928,2948029,27598268416,0.502,0.17,4.448,0.194,4.57,1.509,0.161,0.123,0.429,0.145,6.082,2.063,0.22,11.812,236.834,61.708,NA,15.602,147.712,NA,12232.12,1.307,NA,NA,0.026,0.009,3.019,2.639,3.03,1.028,1.11,0.377,3.492,1.184,NA,NA,36.061,0.04,0.01,0,0.04,0.02,0.01,NA,0.01,0.03,NA,NA,0,0.03,NA,7.78,8.9,1.634,36.74
18,Albania,2015,ALB,10971,2890524,30444531712,0.773,0.268,4.496,-1.125,-20.01,1.555,0.148,0.132,0.322,0.112,5.642,1.952,0.185,15.582,261.577,65.016,NA,15.814,165.165,NA,11791.417,1.12,NA,NA,0.062,0.022,3.19,2.899,3.11,1.076,1.19,0.412,3.338,1.155,NA,NA,34.083,0.05,0.01,0,0.04,0.02,0.01,NA,0.01,0.03,NA,NA,0,0.03,NA,8.38,9.22,1.146,25.49
19,Algeria,1990,DZA,1990,25758872,117843181568,2.989,0.116,76.738,-3.071,-3.85,2.979,0.651,0.244,2.942,0.114,NA,NA,NA,46.16,1227.318,64.715,311.771,376.14,428.533,NA,12227.776,2.673,8.695,0.338,38.908,1.51,4.687,4.713,52.7,2.046,5.11,0.198,23.204,0.901,NA,NA,314.974,0.6,0.34,0.03,0.38,0.15,0.01,3.81,0.48,0.16,NA,3.44,1.01,0.25,NA,121.4,120.74,NA,NA
20,Algeria,1995,DZA,9343,28757788,145054695424,3.165,0.11,94.981,8.834,10.25,3.303,0.655,0.303,1.935,0.067,NA,NA,NA,61.101,1649.081,75.926,376.048,567.205,568.801,NA,10889.045,2.159,15.579,0.542,47.222,1.642,4.981,5.004,62.49,2.173,4.28,0.149,27.081,0.942,NA,NA,313.145,0.51,0.4,0.02,0.41,0.18,0.02,4.01,0.57,0.18,NA,6.63,1.12,0.29,NA,143.9,143.25,NA,NA
21,Algeria,2000,DZA,10258,31042238,208554147840,3.789,0.122,82.221,-9.447,-10.31,2.649,0.394,0.274,1.96,0.063,NA,NA,NA,78.05,2113.382,84.958,441.168,800.874,708.332,NA,9662.501,1.438,11.109,0.358,38.534,1.241,5.239,5.27,74.86,2.412,7.64,0.246,26.828,0.864,NA,NA,299.946,0.53,0.33,0.02,0.43,0.2,0.02,4.17,0.66,0.19,NA,4.12,0.81,0.26,NA,163.6,162.62,NA,NA
22,Algeria,2005,DZA,12374,33149718,326854475776,5.662,0.171,106.473,18.619,21.19,3.212,0.326,0.291,2.363,0.071,NA,NA,NA,100.464,2571.944,96.738,479.64,1033.003,862.099,NA,11049.01,1.121,6.185,0.187,61.211,1.847,5.672,5.6,84.3,2.543,7.8,0.235,31.052,0.937,NA,NA,366.272,0.59,0.36,0.02,0.45,0.22,0.02,3.97,0.7,0.21,NA,1.86,1.13,0.28,NA,185.65,188.02,NA,NA
23,Algeria,2010,DZA,12921,35977448,450705883136,8.252,0.229,117.813,-2.372,-1.97,3.275,0.261,0.268,1.216,0.034,NA,NA,NA,138.061,3127.579,108.269,524.777,1293.198,1063.274,NA,12201.946,0.974,9.611,0.267,53.368,1.483,5.833,5.767,82.8,2.301,8.74,0.243,45.365,1.261,NA,NA,438.995,0.66,0.35,0.01,0.49,0.23,0.02,3.79,0.74,0.22,NA,2.62,0.86,0.4,NA,207.48,209.87,NA,NA
24,Algeria,2015,DZA,13774,39728020,551519125504,8.062,0.203,149.683,7.154,5.02,3.768,0.271,0.242,0.502,0.013,NA,NA,NA,176.973,3800.143,112.127,559.83,1632.085,1319.128,NA,15543.643,1.12,6.76,0.17,78.769,1.983,6.624,6.608,89.63,2.256,12.32,0.31,55.59,1.399,NA,NA,617.518,0.56,0.42,0,0.5,0.25,0.02,3.57,0.78,0.25,NA,1.82,1.16,0.47,NA,262.52,263.14,NA,NA
31,Angola,1990,AGO,1990,11848385,11482503168,0.107,0.009,5.09,0.167,3.39,0.43,0.443,0.218,NA,NA,NA,NA,NA,6.053,115.663,NA,42.946,4.477,60.586,NA,1969.128,2.032,1.498,0.126,1.011,0.085,3.642,5.584,28.22,2.382,21.09,1.78,2.475,0.209,NA,NA,23.331,0.02,0.02,NA,0.05,0.01,NA,0.53,0.01,0.02,NA,0.59,0.03,0.03,NA,66.16,43.15,NA,NA
32,Angola,1995,AGO,3408,13945205,13143744512,0.081,0.006,10.949,7.084,183.32,0.785,0.833,0.429,NA,NA,NA,NA,NA,6.564,146.453,NA,50.756,9.693,77.838,NA,1828.268,1.94,1.403,0.101,1.048,0.075,3.824,5.473,32.23,2.311,21.08,1.512,8.416,0.604,NA,NA,25.496,0.01,0.05,NA,0.04,0.02,NA,0.54,0.01,0.02,NA,0.6,0.02,0.09,NA,76.32,53.32,NA,NA
33,Angola,2000,AGO,3892,16395477,23512020992,0.081,0.005,9.516,0.386,4.23,0.58,0.405,0.293,NA,NA,NA,NA,NA,7.103,190.14,NA,68.065,15.025,98.346,NA,1979.086,1.38,4.683,0.286,1.085,0.066,3.516,4.961,37,2.257,17.77,1.084,3.668,0.224,NA,NA,32.448,0.01,0.04,NA,0.04,0.02,NA,0.64,0.01,0.03,NA,1.74,0.02,0.04,NA,81.34,57.64,NA,NA
34,Angola,2005,AGO,5113,19433604,51967275008,0.521,0.027,19.006,0.305,1.63,0.978,0.366,0.484,NA,NA,NA,NA,NA,8.665,259.104,NA,103.489,21.077,124.272,NA,2018.653,0.755,12.502,0.643,1.249,0.064,3.446,5.911,38.99,2.006,24.37,1.254,4.734,0.244,NA,NA,39.23,0.05,0.06,NA,0.04,0.02,NA,0.86,0.01,0.03,NA,3.76,0.02,0.04,NA,114.87,66.96,NA,NA
35,Angola,2010,AGO,6360,23356246,126981791744,0.578,0.025,28.865,1.3,4.71,1.236,0.227,0.347,NA,NA,NA,NA,NA,11.702,388.099,NA,170.174,27.907,176.715,NA,3561.306,0.655,13.546,0.58,1.37,0.059,3.328,5.436,43.42,1.859,24.95,1.068,13.37,0.572,NA,NA,83.179,0.05,0.09,NA,0.04,0.03,NA,1.23,0.02,0.04,NA,3.69,0.02,0.12,NA,126.96,77.73,NA,NA
36,Angola,2015,AGO,6645,27884380,176848732160,2.03,0.073,33.621,0.325,0.98,1.206,0.19,0.287,NA,NA,NA,NA,NA,19.178,552.375,NA,238.331,33.517,259.749,NA,4195.878,0.662,13.459,0.483,1.44,0.052,3.133,4.871,43.27,1.552,24.98,0.896,16.691,0.599,NA,NA,116.999,0.14,0.09,NA,0.05,0.04,NA,1.52,0.02,0.05,NA,3.61,0.02,0.14,NA,135.83,87.36,NA,NA
49,Antigua and Barbuda,1990,ATG,1990,62533,NA,NA,NA,0.22,-0.066,-23.08,3.516,NA,0.126,NA,NA,NA,NA,NA,NA,10.582,NA,NA,NA,10.582,NA,27972.486,NA,NA,NA,NA,NA,5.597,5.597,0.13,2.079,0.01,0.16,0.22,3.516,NA,NA,1.749,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.35,0.35,NA,NA
50,Antigua and Barbuda,1995,ATG,17664,68672,NA,NA,NA,0.224,0.007,3.39,3.255,NA,0.112,NA,NA,NA,NA,NA,NA,11.659,NA,NA,NA,11.659,NA,28970.939,NA,NA,NA,NA,NA,6.553,6.553,0.15,2.184,0.02,0.291,0.224,3.255,NA,NA,1.989,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.45,0.45,NA,NA
51,Antigua and Barbuda,2000,ATG,20791,76007,NA,NA,NA,0.293,0.011,3.9,3.856,NA,0.137,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,13,NA,28106.406,NA,NA,NA,NA,NA,7.894,7.894,0.18,2.368,0.02,0.263,0.293,3.856,NA,NA,2.136,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.6,0.6,NA,NA
52,Antigua and Barbuda,2005,ATG,22229,81462,NA,NA,NA,0.374,0.007,2,4.588,NA,0.147,NA,NA,NA,NA,NA,NA,14.718,NA,NA,NA,14.718,NA,31117.623,NA,NA,NA,NA,NA,9.575,9.575,0.19,2.332,0.02,0.246,0.374,4.588,NA,NA,2.535,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.78,0.78,NA,NA
53,Antigua and Barbuda,2010,ATG,20660,88030,NA,NA,NA,0.454,0.011,2.48,5.161,NA,0.16,NA,NA,NA,NA,NA,NA,16.825,NA,NA,NA,16.825,NA,32232.082,NA,NA,NA,NA,NA,11.701,11.701,0.19,2.158,0.01,0.114,0.454,5.161,NA,NA,2.837,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,1.03,1.03,NA,NA
54,Antigua and Barbuda,2015,ATG,21426,93571,NA,NA,NA,0.48,0.018,3.97,5.13,NA,0.158,NA,NA,NA,NA,NA,NA,19.13,NA,NA,NA,19.13,NA,32524.477,NA,NA,NA,NA,NA,11.649,11.649,0.2,2.137,0.01,0.107,0.48,5.13,NA,NA,3.043,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,1.09,1.09,NA,NA
55,Argentina,1990,ARG,11373,32618648,338751160320,1.822,0.056,112.079,-4.941,-4.22,3.436,0.331,0.22,3.07,0.094,111.988,3.433,0.331,93.996,3671.448,437.59,114.808,588.306,2436.747,NA,15727.454,1.514,4.785,0.147,43.213,1.325,7.582,8.972,110.25,3.38,35.93,1.102,59.188,1.815,NA,NA,513.008,0.37,0.49,0.04,0.77,0.45,0.1,1.4,0.75,0.9,NA,1.89,1.12,0.64,NA,292.65,247.3,-0.091,-0.08
56,Argentina,1995,ARG,13960,34828168,461601013760,2.621,0.075,127.765,5.536,4.53,3.668,0.277,0.203,3.701,0.106,129.724,3.725,0.281,107.119,4277.956,452.646,138.812,820.574,2758.805,NA,18037.787,1.361,5.412,0.155,53.195,1.527,7.545,8.847,112.63,3.234,37.07,1.064,62.836,1.804,NA,NA,628.223,0.42,0.54,0.04,0.72,0.46,0.09,1.48,0.83,0.87,NA,2.3,1.26,0.67,NA,308.14,262.79,1.959,1.53
57,Argentina,2000,ARG,14975,36870796,536481038336,2.771,0.075,142.358,-4.927,-3.35,3.861,0.265,0.201,1.656,0.045,140.1,3.8,0.261,122.054,4979.455,465.173,152.606,1138.292,3101.329,NA,18950.959,1.302,1.059,0.029,69.438,1.883,7.888,9.15,117.51,3.187,39.91,1.082,67.434,1.829,NA,NA,698.737,0.39,0.56,0.02,0.67,0.48,0.09,1.44,0.94,0.85,NA,0.39,1.47,0.66,NA,337.38,290.82,-2.259,-1.59
58,Argentina,2005,ARG,15619,38892924,604065431552,3.241,0.083,161.434,4.391,2.8,4.151,0.267,0.202,3.268,0.084,134.55,3.46,0.223,134.486,5690.96,475.018,159.656,1499.669,3422.13,NA,20327.631,1.309,1.158,0.03,81.967,2.108,8.298,10.75,128.52,3.304,43.67,1.123,71.8,1.846,NA,NA,790.601,0.34,0.55,0.03,0.6,0.48,0.08,1.32,1.02,0.82,NA,0.35,1.52,0.65,NA,418.09,322.74,-26.885,-16.65
59,Argentina,2010,ARG,18912,40895752,784986275840,4.178,0.102,186.733,7.784,4.35,4.566,0.238,0.208,3.99,0.098,175.006,4.279,0.223,154.226,6593.603,493.642,166.797,1935.758,3843.179,NA,21637.92,1.127,1.491,0.036,86.928,2.126,8.304,10.633,116.14,2.84,41.67,1.019,90.145,2.204,NA,NA,884.899,0.33,0.56,0.03,0.55,0.49,0.08,1.2,1.1,0.81,NA,0.41,1.4,0.8,NA,434.83,339.61,-11.727,-6.28
60,Argentina,2015,ARG,19244,43075416,847854960640,4.571,0.106,192.406,3.749,1.99,4.467,0.227,0.189,5.467,0.127,202.157,4.693,0.238,176.484,7546.788,519.217,175.235,2401.443,4274.408,NA,23134.643,1.175,1.88,0.044,93.535,2.171,8.59,10.117,122.12,2.835,43.62,1.013,86.954,2.019,NA,NA,996.534,0.32,0.54,0.04,0.5,0.5,0.07,1.12,1.15,0.8,NA,0.5,1.38,0.73,NA,435.81,370,9.751,5.07
61,Armenia,1990,ARM,3742,3538164,32650115072,0.315,0.089,8.962,-0.561,-5.89,2.533,0.275,NA,0.696,0.197,6.039,1.707,0.185,7.626,248.525,42.437,2.061,58.425,137.977,NA,NA,NA,0.097,0.027,4.199,1.187,6.899,6.936,3.65,1.032,0.91,0.257,3.655,1.033,NA,NA,NA,0.06,0.04,0.01,0.06,0.03,0.01,0.03,0.07,0.05,NA,0.04,0.11,0.04,NA,24.54,24.41,-2.923,-32.62
62,Armenia,1995,ARM,2173,3217349,14085538816,0.139,0.043,3.433,0.72,26.53,1.067,0.244,0.089,0.007,0.002,2.721,0.846,0.193,8.484,270.398,43.526,NA,71.121,145.117,NA,11980.379,2.736,NA,NA,2.616,0.813,2.064,2.104,2.57,0.799,0.54,0.168,0.671,0.208,NA,NA,38.545,0.02,0.01,0,0.06,0.03,0.01,NA,0.07,0.05,NA,NA,0.06,0.01,NA,6.77,6.64,-0.712,-20.74
63,Armenia,2000,ARM,2925,3069597,15244832768,0.139,0.045,3.491,0.442,14.49,1.137,0.229,0.119,NA,NA,4.015,1.308,0.263,9.349,286.201,NA,NA,83.469,147.656,NA,9569.226,1.927,NA,NA,2.565,0.836,1.951,1.994,1.8,0.586,0.53,0.173,0.788,0.257,NA,NA,29.374,0.02,0.01,NA,0.05,0.03,NA,NA,0.07,0.04,NA,NA,0.05,0.01,NA,6.12,5.99,0.524,15.01
64,Armenia,2005,ARM,5357,2981262,23626534912,0.331,0.111,4.376,0.685,18.56,1.468,0.185,0.12,NA,NA,5.385,1.806,0.228,10.553,304.333,NA,NA,95.847,152.084,NA,12262.936,1.547,NA,NA,3.063,1.028,2.455,2.496,2.05,0.688,0.64,0.215,0.982,0.329,NA,NA,36.559,0.03,0.01,NA,0.05,0.03,NA,NA,0.07,0.04,NA,NA,0.06,0.01,NA,7.44,7.32,1.009,23.05
65,Armenia,2010,ARM,6703,2877314,24485627904,0.288,0.1,4.253,-0.111,-2.53,1.478,0.174,0.108,0.004,0.001,5.483,1.906,0.224,12.24,328.026,43.72,NA,112.994,156.921,NA,13671.606,1.607,NA,NA,2.953,1.026,2.627,2.673,2.21,0.768,0.77,0.268,1.008,0.35,NA,NA,39.338,0.02,0.01,0,0.04,0.02,0.01,NA,0.06,0.03,NA,NA,0.05,0.01,NA,7.69,7.56,1.231,28.94
66,Armenia,2015,ARM,8172,2925559,29365307392,0.241,0.082,5.469,-0.135,-2.41,1.87,0.186,0.134,0.004,0.001,5.982,2.045,0.204,13.526,355.352,43.746,NA,134.653,161.277,NA,13899.147,1.385,NA,NA,4.427,1.513,3.131,3.104,2.47,0.844,1.09,0.373,0.798,0.273,NA,NA,40.663,0.02,0.02,0,0.04,0.02,0.01,NA,0.06,0.03,NA,NA,0.07,0.01,NA,9.08,9.16,0.512,9.37
85,Australia,1990,AUS,28669,16960600,464136601600,3.478,0.205,279.365,1.864,0.67,16.471,0.602,0.271,142.497,8.402,245.907,14.499,0.53,90.304,7540.841,4820.041,9.829,374.449,2243.966,2.252,60909.371,2.226,7.304,0.431,34.606,2.04,28.714,31.92,141.07,8.318,80.09,4.722,89.229,5.261,0.133,2.252,1033.059,0.7,1.23,1.64,0.74,0.93,1.1,0.12,0.48,0.83,0.12,2.89,0.9,0.97,1.01,541.39,487,-33.458,-11.98
86,Australia,1995,AUS,30412,17993082,549172871168,3.391,0.189,308.023,7.938,2.65,17.119,0.561,0.268,157.261,8.74,265.935,14.78,0.484,106.437,9008.477,5581.656,45.597,555.732,2703.583,15.472,64152.375,2.102,7.131,0.396,40.225,2.236,27.986,31.011,137.05,7.617,77.5,4.307,97.078,5.395,0.163,2.937,1154.299,0.54,1.31,1.78,0.71,0.98,1.16,0.49,0.56,0.86,0.53,3.03,0.95,1.04,1.32,557.98,503.55,-42.087,-13.66
87,Australia,2000,AUS,35393,18991434,691886620672,3.643,0.192,351.82,5.221,1.51,18.525,0.508,0.27,186.942,9.844,291.343,15.341,0.421,123.698,10689.033,6467.432,81.514,774.951,3208.973,32.466,68728.852,1.887,8.003,0.421,46.885,2.469,31.433,34.264,158.25,8.333,99.5,5.239,102.976,5.422,0.177,3.37,1305.26,0.51,1.39,2.07,0.68,1.02,1.23,0.77,0.64,0.88,0.81,2.97,0.99,1,1.57,650.73,596.96,-60.477,-17.19
88,Australia,2005,AUS,38969,20178542,840554577920,3.678,0.182,387.602,0.835,0.22,19.209,0.461,0.276,201.452,9.983,342.612,16.979,0.408,141.705,12564.202,7456.55,119.002,1034.046,3761.261,51.639,69893.562,1.678,6.942,0.344,54.681,2.71,27.771,29.261,121.4,6.016,62.57,3.101,116.944,5.795,0.193,3.905,1410.35,0.38,1.31,1.74,0.63,1.06,1.29,0.99,0.7,0.9,1,2.09,1.01,1.05,1.62,590.44,560.38,-44.99,-11.61
89,Australia,2010,AUS,41530,22154688,994067742720,3.544,0.16,404.533,3.212,0.8,18.26,0.407,0.273,200.253,9.039,383.453,17.308,0.386,160.869,14578.93,8479.017,157.305,1340.964,4369.285,71.492,68104.711,1.518,8.179,0.369,64.172,2.897,25.568,26.918,115.16,5.198,54.38,2.455,124.384,5.614,0.181,4.003,1508.839,0.28,1.21,1.43,0.57,1.09,1.32,1.14,0.76,0.92,1.12,2.23,1.03,1.1,1.63,596.36,566.44,-21.081,-5.21
90,Australia,2015,AUS,44054,23932498,1145386827776,3.09,0.129,403.279,4.026,1.01,16.851,0.352,0.256,174.961,7.311,397.299,16.601,0.347,177.391,16582.645,9378.986,202.445,1688.774,5044.077,90.972,66836.336,1.397,10.877,0.454,72.362,3.024,24.944,23.77,134.8,5.633,72.5,3.029,137.945,5.764,0.169,4.045,1599.561,0.21,1.14,1.19,0.5,1.09,1.31,1.29,0.81,0.95,1.16,2.92,1.07,1.16,1.34,568.87,596.98,-5.981,-1.48
91,Austria,1990,AUT,31342,7723954,207979118592,2.033,0.263,62.14,8.444,15.73,8.045,0.299,0.189,18.139,2.348,87.989,11.392,0.423,84.081,3453.229,2276.428,0.102,236.48,855.003,1.135,43393.289,1.612,0.102,0.013,11.831,1.532,9.918,8.175,11.85,1.534,4.97,0.643,28.899,3.741,0.147,1.135,335.168,0.41,0.27,0.21,0.69,0.43,0.52,0,0.3,0.32,0.06,0.04,0.31,0.31,0.51,63.14,76.61,25.849,41.6
92,Austria,1995,AUT,33792,7990113,236824444928,1.631,0.204,64.011,2.977,4.88,8.011,0.27,0.178,15.423,1.93,91.557,11.459,0.387,93.956,3764.91,2351.667,0.701,303.03,1009.392,6.164,45935.617,1.55,0.127,0.016,14.887,1.863,9.706,8.02,10.45,1.308,4.65,0.582,30.852,3.861,0.137,1.09,367.031,0.26,0.27,0.17,0.63,0.41,0.49,0.01,0.31,0.32,0.21,0.05,0.35,0.33,0.49,64.08,77.55,27.546,43.03
93,Austria,2000,AUT,38844,8069276,280410161152,1.712,0.212,66.139,0.499,0.76,8.196,0.236,0.173,15.753,1.952,96.564,11.967,0.344,102.269,4098.184,2426.224,1.37,381.155,1175.677,11.488,48508.02,1.396,0.165,0.02,15.255,1.89,9.747,8.078,9.28,1.15,4.66,0.577,32.163,3.986,0.135,1.092,391.425,0.24,0.26,0.17,0.56,0.39,0.46,0.01,0.31,0.32,0.29,0.06,0.32,0.31,0.51,65.18,78.65,30.426,46
94,Austria,2005,AUT,41283,8253656,311537598464,1.797,0.218,79.068,1.4,1.8,9.58,0.254,0.19,17.862,2.164,106.148,12.861,0.341,111.067,4474.452,2513.175,2.229,466.962,1363.719,17.299,51512.477,1.365,0.16,0.019,18.691,2.264,10.947,10.2,8.63,1.046,3.97,0.481,39.393,4.773,0.141,1.165,425.166,0.19,0.27,0.15,0.49,0.38,0.44,0.02,0.32,0.33,0.34,0.05,0.35,0.35,0.48,84.19,90.35,27.08,34.25
95,Austria,2010,AUT,43336,8409945,338927091712,1.622,0.193,72,4.71,7,8.561,0.212,0.175,15.501,1.843,98.542,11.717,0.291,120.705,4838.108,2593.857,3.145,554.157,1543.175,23.068,49949.621,1.239,0.184,0.022,18.77,2.232,9.93,9.196,8.11,0.964,3.78,0.449,34.801,4.138,0.133,1.122,420.074,0.13,0.22,0.11,0.43,0.36,0.4,0.02,0.32,0.32,0.36,0.05,0.3,0.31,0.46,77.34,83.51,26.542,36.86
96,Austria,2015,AUT,44254,8678667,358988120064,1.701,0.196,66.352,2.191,3.41,7.645,0.185,0.173,14.373,1.656,91.943,10.594,0.256,129.04,5173.532,2667.5,4.03,636.037,1708.025,28.9,45546.711,1.101,0.162,0.019,15.959,1.839,8.796,7.982,7.39,0.852,3.95,0.455,33.01,3.804,0.132,1.147,395.285,0.12,0.19,0.1,0.36,0.34,0.37,0.03,0.3,0.32,0.37,0.04,0.24,0.28,0.38,69.27,76.34,25.592,38.57
97,Azerbaijan,1990,AZE,8790,7242758,53235601408,0.478,0.066,51.38,0.008,0.02,7.094,0.965,0.198,0.343,0.047,28.478,3.932,0.535,13.779,1435.896,23.753,4.253,487.426,906.685,NA,35974.035,4.894,0.191,0.026,27.797,3.838,10.449,10.231,19.22,2.654,2.98,0.411,22.571,3.116,NA,NA,260.551,0.1,0.23,0,0.11,0.18,0.01,0.05,0.62,0.34,NA,0.08,0.72,0.24,NA,74.1,75.68,-22.903,-44.57
98,Azerbaijan,1995,AZE,3428,7775418,23188279296,0.103,0.013,33.309,-8.635,-20.59,4.284,1.436,0.208,0.015,0.002,23.372,3.006,1.008,15.258,1665.764,24.1,NA,583.881,1036.188,NA,20661.012,6.928,NA,NA,13.308,1.712,5.335,5.133,6.68,0.859,2.26,0.291,19.885,2.557,NA,NA,160.648,0.02,0.14,0,0.1,0.18,0.01,NA,0.59,0.33,NA,NA,0.32,0.21,NA,39.91,41.48,-9.938,-29.83
